,PCA1,PCA2,PCA3,geneid
0,0.0,0.0,0.0,gene:Minc3s09726g43483
1,0.0,0.0,0.0,gene:Minc3s09726g43484
2,0.0,0.0,0.0,gene:Minc3s09726g43485
3,0.0,0.0,0.0,gene:Minc3s00760g16979
4,0.0,0.0,0.0,gene:Minc3s00760g16980
5,0.0,0.0,0.0,gene:Minc3s00760g16981
6,0.06717963915159186,0.06693126852225437,-0.013307332551072165,gene:Minc3s00760g16982
7,0.02222945154877084,0.023713914726774286,0.022587105567144987,gene:Minc3s00760g16983
8,0.0,0.0,0.0,gene:Minc3s00760g16984
9,0.0,0.0,0.0,gene:Minc3s06092g39313
10,0.0,0.0,0.0,gene:Minc3s04522g36466
11,0.0,0.0,0.0,gene:Minc3s04522g36467
12,0.0,0.0,0.0,gene:Minc3s00301g09715
13,0.0,0.0,0.0,gene:Minc3s00301g09716
14,0.003662839369921858,0.0037711403104897334,0.007055437071428741,gene:Minc3s00301g09717
15,0.07944253983634214,-0.018121965430369546,-0.010179546715944003,gene:Minc3s00301g09718
16,0.01736499489982092,-0.01625323389435707,-0.0007206001476523784,gene:Minc3s00301g09719
17,0.0,0.0,0.0,gene:Minc3s00301g09720
18,0.0029302714959374867,0.003016912248391787,0.005644349657142993,gene:Minc3s00301g09721
19,0.0,0.0,0.0,gene:Minc3s00301g09722
20,0.003662839369921858,0.0037711403104897334,0.007055437071428741,gene:Minc3s00301g09723
21,0.04278823641346993,-0.024209959105636728,0.014080761261838473,gene:Minc3s00301g09724
22,0.0,0.0,0.0,gene:Minc3s00301g09725
23,0.0,0.0,0.0,gene:Minc3s00301g09726
24,0.0,0.0,0.0,gene:Minc3s00301g09727
25,0.023306385824848442,-0.009308976745880953,-0.009507894367219577,gene:Minc3s00301g09728
26,0.0,0.0,0.0,gene:Minc3s00301g09729
27,0.06945997959928368,-0.06501293557742828,-0.002882400590609514,gene:Minc3s00301g09730
28,0.02153923298935889,0.02005488933733477,0.004602129746810261,gene:Minc3s00301g09731
29,0.01736499489982092,-0.01625323389435707,-0.0007206001476523784,gene:Minc3s00301g09732
30,0.0,0.0,0.0,gene:Minc3s00301g09733
31,0.0,0.0,0.0,gene:Minc3s00301g09734
32,0.0,0.0,0.0,gene:Minc3s00301g09735
33,0.018097562773805292,-0.015499005832259122,0.0006904872666333698,gene:Minc3s00967g19391
34,0.6204208635372549,0.04227901495804044,0.17874159844706272,gene:Minc3s00967g19392
35,0.0,0.0,0.0,gene:Minc3s00967g19393
36,0.037660261295579325,-0.029489555540322353,0.004203149361838236,gene:Minc3s00967g19394
37,0.0007325678739843717,0.0007542280620979467,0.0014110874142857482,gene:Minc3s00967g19395
38,0.0,0.0,0.0,gene:Minc3s00967g19396
39,0.0,0.0,0.0,gene:Minc3s00967g19397
40,0.011882781850055042,0.013888514296952236,-0.017574588439134398,gene:Minc3s00967g19398
41,0.0007325678739843717,0.0007542280620979467,0.0014110874142857482,gene:Minc3s00967g19399
42,0.01736499489982092,-0.01625323389435707,-0.0007206001476523784,gene:Minc3s00967g19400
43,0.024038953698832813,-0.008554748683783005,-0.008096806952933829,gene:Minc3s00967g19401
44,0.0,0.0,0.0,gene:Minc3s00967g19402
45,0.0,0.0,0.0,gene:Minc3s00967g19403
46,0.0,0.0,0.0,gene:Minc3s00967g19404
47,0.0,0.0,0.0,gene:Minc3s02221g28943
48,0.0,0.0,0.0,gene:Minc3s02221g28944
49,0.0,0.0,0.0,gene:Minc3s02221g28945
50,0.08755754237308896,-0.0805119414096874,-0.002191913323976144,gene:Minc3s05593g38495
51,0.0,0.0,0.0,gene:Minc3s05593g38496
52,0.0,0.0,0.0,gene:Minc3s08740g42548
53,0.0,0.0,0.0,gene:Minc3s11599g44999
54,0.003662839369921858,0.0037711403104897334,0.007055437071428741,gene:Minc3s06804g40340
55,0.007325678739843716,0.007542280620979467,0.014110874142857482,gene:Minc3s06804g40341
56,0.0,0.0,0.0,gene:Minc3s06804g40342
57,0.0007325678739843717,0.0007542280620979467,0.0014110874142857482,gene:Minc3s06804g40343
58,0.0058605429918749735,0.006033824496783574,0.011288699314285985,gene:Minc3s04492g36397
59,0.011801933916902494,0.012978081645259692,0.002501405094718787,gene:Minc3s04492g36398
60,0.0,0.0,0.0,gene:Minc3s02672g31132
61,0.0,0.0,0.0,gene:Minc3s02672g31133
62,0.0,0.0,0.0,gene:Minc3s02672g31134
63,0.0,0.0,0.0,gene:Minc3s02672g31135
64,0.0,0.0,0.0,gene:Minc3s03334g33547
65,0.0007325678739843717,0.0007542280620979467,0.0014110874142857482,gene:Minc3s11307g44792
66,0.19863810464683035,-0.13597815218054796,0.020694977075338475,gene:Minc3s12042g45323
67,0.0795233877694947,-0.017211532778677,-0.030255540249797187,gene:Minc3s05531g38377
68,0.0,0.0,0.0,gene:Minc3s05531g38378
69,0.0,0.0,0.0,gene:Minc3s05531g38379
70,0.0,0.0,0.0,gene:Minc3s01587g24933
71,0.008871662420965008,0.009961169396867905,-0.0031429445624242057,gene:Minc3s01587g24934
72,0.0,0.0,0.0,gene:Minc3s01587g24935
73,0.0,0.0,0.0,gene:Minc3s01587g24936
74,0.0,0.0,0.0,gene:Minc3s01587g24937
75,0.00960423029494938,0.010715397458965851,-0.001731857148138458,gene:Minc3s05254g37882
76,0.00439540724390623,0.0045253683725876796,0.008466524485714489,gene:Minc3s05254g37883
77,0.007406526672996265,0.008452713272672012,-0.0059651193909957025,gene:Minc3s02337g29532
78,0.05260184834051461,0.04991474348194285,0.02754839587933525,gene:Minc3s02337g29533
79,0.04286908434662248,-0.023299526453944182,-0.005995232272014711,gene:Minc3s02337g29534
80,0.0,0.0,0.0,gene:Minc3s02337g29535
81,0.0014651357479687434,0.0015084561241958934,0.0028221748285714963,gene:Minc3s02337g29536
82,0.0,0.0,0.0,gene:Minc3s02337g29537
83,0.0,0.0,0.0,gene:Minc3s02337g29538
84,0.0,0.0,0.0,gene:Minc3s02337g29539
85,0.0,0.0,0.0,gene:Minc3s02337g29540
86,0.0,0.0,0.0,gene:Minc3s02337g29541
87,0.0014651357479687434,0.0015084561241958934,0.0028221748285714963,gene:Minc3s02337g29542
88,0.0,0.0,0.0,gene:Minc3s03943g35184
89,0.0007325678739843717,0.0007542280620979467,0.0014110874142857482,gene:Minc3s01773g26193
90,0.0,0.0,0.0,gene:Minc3s01773g26194
91,0.0,0.0,0.0,gene:Minc3s01773g26195
92,0.2604749234973138,-0.24379850841535605,-0.010809002214785677,gene:Minc3s01773g26196
93,0.0,0.0,0.0,gene:Minc3s09297g43089
94,0.007406526672996265,0.008452713272672012,-0.0059651193909957025,gene:Minc3s04996g37401
95,0.0,0.0,0.0,gene:Minc3s04996g37402
96,0.0,0.0,0.0,gene:Minc3s08495g42309
97,0.0,0.0,0.0,gene:Minc3s08495g42310
98,0.0,0.0,0.0,gene:Minc3s11330g44809
99,0.0,0.0,0.0,gene:Minc3s01963g27463
